test,package,rtime
TestValidateAddrs/0/{:26257__:8080__:5432_},base,0.0
TestValidateAddrs/1/{kenax:26257__:8080__:5432_},base,0.0
TestValidateAddrs/2/{localhost:26257__:8080__:5432_},base,0.0
TestValidateAddrs/3/{192.168.2.10:26257_kenax:_:8080__:5432_},base,0.0
TestValidateAddrs/4/{192.168.2.10:26257_kenax:12345_:8080__:5432_},base,0.0
TestValidateAddrs/5/{:postgresql__:http__:postgresql_},base,0.0
TestValidateAddrs/6/{:26257__localhost:8080__:5432_},base,0.0
TestValidateAddrs/7/{localhost:26257__kenax:8080__:5432_},base,0.0
TestValidateAddrs/8/{:26257__:8080__localhost:5432_},base,0.0
TestValidateAddrs/9/{_____},base,0.0
TestValidateAddrs/10/{:_____},base,0.0
TestValidateAddrs/11/{_:____},base,0.0
TestValidateAddrs/12/{__:___},base,0.0
TestValidateAddrs/13/{____:_},base,0.0
TestValidateAddrs/14/{_____:},base,0.0
TestValidateAddrs/15/{:12345_:0___:5432_},base,0.0
TestValidateAddrs/16/{:12345____:5432_:0},base,0.0
TestValidateAddrs/17/{localhost_____},base,0.0
TestValidateAddrs/18/{:26257__localhost___},base,0.0
TestValidateAddrs/19/{localhost:-1231_____},base,0.0
TestValidateAddrs/20/{localhost:nonexistent_____},base,0.0
TestValidateAddrs/21/{nonexistent.example.com:26257_____},base,0.05
TestValidateAddrs/22/{333.333.333.333:26257_____},base,0.0
TestJoinListType/#00,base,0.0
TestJoinListType/:,base,0.0
TestJoinListType/a,base,0.0
"TestJoinListType/a,b",base,0.0
"TestJoinListType/a,,b",base,0.0
"TestJoinListType/,a",base,0.0
"TestJoinListType/a,",base,0.0
"TestJoinListType/a:123,b",base,0.0
"TestJoinListType/[::1]:123,b",base,0.0
"TestJoinListType/[::1,b",base,0.0
TestBlobClientReadFile/read-remote-file,blobs,0.0
TestBlobClientReadFile/read-local-file,blobs,0.0
TestBlobClientReadFile/read-file-not-exist,blobs,0.0
TestBlobClientReadFile/read-dir-exists,blobs,0.0
TestBlobClientReadFile/read-check-calling-clean,blobs,0.0
TestBlobClientReadFile/read-outside-extern-dir,blobs,0.0
TestBlobClientWriteFile/write-remote-file,blobs,0.0
TestBlobClientWriteFile/write-local-file,blobs,0.0
TestBlobClientWriteFile/write-outside-extern-dir,blobs,0.0
TestBlobClientList/list-local,blobs,0.0
TestBlobClientList/list-remote,blobs,0.0
TestBlobClientList/list-local-no-match,blobs,0.0
TestBlobClientList/list-remote-no-match,blobs,0.0
TestBlobClientList/list-empty-pattern,blobs,0.0
TestBlobClientList/list-star,blobs,0.0
TestBlobClientList/list-outside-external-dir,blobs,0.0
TestBlobClientList/list-backout-external-dir,blobs,0.0
TestBlobClientDeleteFrom/delete-remote-file,blobs,0.0
TestBlobClientDeleteFrom/delete-local-file,blobs,0.0
TestBlobClientDeleteFrom/delete-remote-file-does-not-exist,blobs,0.0
TestBlobClientDeleteFrom/delete-directory-not-empty,blobs,0.0
TestBlobClientDeleteFrom/delete-directory-empty,blobs,0.0
TestBlobClientStat/stat-remote-file,blobs,0.0
TestBlobClientStat/stat-local-file,blobs,0.0
TestBlobClientStat/stat-remote-file-does-not-exist,blobs,0.0
TestBlobClientStat/stat-directory,blobs,0.0
TestBlobServiceList/list-correct-files,blobs,0.0
TestBlobServiceList/not-in-external-io-dir,blobs,0.0
TestBlobServiceDelete/delete-correct-file,blobs,0.0
TestBlobServiceDelete/file-not-exist,blobs,0.0
TestBlobServiceDelete/not-in-external-io-dir,blobs,0.0
TestBlobServiceStat/get-correct-file-size,blobs,0.0
TestBlobServiceStat/file-not-exist,blobs,0.0
TestBlobServiceStat/not-in-external-io-dir,blobs,0.0
TestBlobServiceStat/stat-directory,blobs,0.0
TestGetURIsByLocalityKV/singleURINoDefault,ccl/backupccl,0.0
TestGetURIsByLocalityKV/singleURIDefault,ccl/backupccl,0.0
TestGetURIsByLocalityKV/multipleURIs,ccl/backupccl,0.0
TestGetURIsByLocalityKV/multipleURISameStore,ccl/backupccl,0.0
TestGetURIsByLocalityKV/singleURILocality,ccl/backupccl,0.0
TestGetURIsByLocalityKV/noDefault,ccl/backupccl,0.0
TestGetURIsByLocalityKV/duplicateLocality,ccl/backupccl,0.0
TestDescriptorsMatchingTargets/0//DATABASE_system,ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/1//DATABASE_system,_noexist",ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/2//DATABASE_system,_system",ccl/backupccl,0.0
TestDescriptorsMatchingTargets/3//DATABASE_data,ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/4//DATABASE_system,_data",ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/5//DATABASE_system,_data,_noexist",ccl/backupccl,0.0
TestDescriptorsMatchingTargets/6/system/DATABASE_system,ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/7/system/DATABASE_system,_noexist",ccl/backupccl,0.0
TestDescriptorsMatchingTargets/8/system/DATABASE_data,ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/9/system/DATABASE_system,_data",ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/10/system/DATABASE_system,_data,_noexist",ccl/backupccl,0.0
TestDescriptorsMatchingTargets/11//TABLE_foo,ccl/backupccl,0.0
TestDescriptorsMatchingTargets/12/system/TABLE_foo,ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/13/system/TABLE_foo,_foo",ccl/backupccl,0.0
TestDescriptorsMatchingTargets/14/data/TABLE_foo,ccl/backupccl,0.0
TestDescriptorsMatchingTargets/15//TABLE_*,ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/16//TABLE_*,_system.public.foo",ccl/backupccl,0.0
TestDescriptorsMatchingTargets/17/noexist/TABLE_*,ccl/backupccl,0.0
TestDescriptorsMatchingTargets/18/system/TABLE_*,ccl/backupccl,0.0
TestDescriptorsMatchingTargets/19/data/TABLE_*,ccl/backupccl,0.0
TestDescriptorsMatchingTargets/20/empty/TABLE_*,ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/21//TABLE_foo,_baz",ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/22/system/TABLE_foo,_baz",ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/23/data/TABLE_foo,_baz",ccl/backupccl,0.0
TestDescriptorsMatchingTargets/24//TABLE_system.foo,ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/25//TABLE_system.foo,_foo",ccl/backupccl,0.0
TestDescriptorsMatchingTargets/26//TABLE_system.public.foo,ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/27//TABLE_system.public.foo,_foo",ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/28//TABLE_system.public.foo,_bar",ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/29//TABLE_system.foo,_bar",ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/30/system/TABLE_system.public.foo,_bar",ccl/backupccl,0.0
"TestDescriptorsMatchingTargets/31/system/TABLE_system.foo,_bar",ccl/backupccl,0.0
TestDescriptorsMatchingTargets/32//TABLE_noexist.*,ccl/backupccl,0.0
TestDescriptorsMatchingTargets/33//TABLE_empty.*,ccl/backupccl,0.0
